instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,is_weekend,casual_sum,registered_sum,cnt_sum
126,2011-05-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Non-Weekend,620017,2672662,3292679
127,2011-05-07,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Non-Weekend,620017,2672662,3292679
128,2011-05-08,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Non-Weekend,620017,2672662,3292679
129,2011-05-09,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Non-Weekend,620017,2672662,3292679
130,2011-05-10,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Non-Weekend,620017,2672662,3292679
131,2011-05-11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Non-Weekend,620017,2672662,3292679
132,2011-05-12,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Non-Weekend,620017,2672662,3292679
133,2011-05-13,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Non-Weekend,620017,2672662,3292679
134,2011-05-14,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Non-Weekend,620017,2672662,3292679
135,2011-05-15,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Non-Weekend,620017,2672662,3292679
136,2011-05-16,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Non-Weekend,620017,2672662,3292679
137,2011-05-17,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Non-Weekend,620017,2672662,3292679
138,2011-05-18,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Non-Weekend,620017,2672662,3292679
139,2011-05-19,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Weekend,620017,2672662,3292679
140,2011-05-20,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Weekend,620017,2672662,3292679
141,2011-05-21,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Weekend,620017,2672662,3292679
142,2011-05-22,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Weekend,620017,2672662,3292679
143,2011-05-23,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Weekend,620017,2672662,3292679
144,2011-05-24,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Weekend,620017,2672662,3292679
145,2011-05-25,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Weekend,620017,2672662,3292679
146,2011-05-26,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Weekend,620017,2672662,3292679
147,2011-05-27,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Weekend,620017,2672662,3292679
148,2011-05-28,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Weekend,620017,2672662,3292679
149,2011-05-29,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Weekend,620017,2672662,3292679
150,2011-05-30,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Weekend,620017,2672662,3292679
151,2011-05-31,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Weekend,620017,2672662,3292679
152,2011-06-01,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Weekend,620017,2672662,3292679
153,2011-06-02,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Weekend,620017,2672662,3292679
154,2011-06-03,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Weekend,620017,2672662,3292679
155,2011-06-04,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Weekend,620017,2672662,3292679
156,2011-06-05,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Weekend,620017,2672662,3292679
157,2011-06-06,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Weekend,620017,2672662,3292679
158,2011-06-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Weekend,620017,2672662,3292679
159,2011-06-08,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Weekend,620017,2672662,3292679
160,2011-06-09,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Weekend,620017,2672662,3292679
161,2011-06-10,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Weekend,620017,2672662,3292679
162,2011-06-11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Weekend,620017,2672662,3292679
163,2011-06-12,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Weekend,620017,2672662,3292679
164,2011-06-13,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Weekend,620017,2672662,3292679
165,2011-06-14,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Weekend,620017,2672662,3292679
166,2011-06-15,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Weekend,620017,2672662,3292679
167,2011-06-16,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Weekend,620017,2672662,3292679
168,2011-06-17,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Weekend,620017,2672662,3292679
169,2011-06-18,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Weekend,620017,2672662,3292679
170,2011-06-19,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Weekend,620017,2672662,3292679
171,2011-06-20,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Weekend,620017,2672662,3292679
172,2011-06-21,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Weekend,620017,2672662,3292679
173,2011-06-22,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Weekend,620017,2672662,3292679
174,2011-06-23,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Weekend,620017,2672662,3292679
175,2011-06-24,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Weekend,620017,2672662,3292679
176,2011-06-25,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Weekend,620017,2672662,3292679
177,2011-06-26,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Weekend,620017,2672662,3292679
178,2011-06-27,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Weekend,620017,2672662,3292679
179,2011-06-28,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Weekend,620017,2672662,3292679
180,2011-06-29,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Weekend,620017,2672662,3292679
181,2011-06-30,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Weekend,620017,2672662,3292679
182,2011-07-01,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Weekend,620017,2672662,3292679
183,2011-07-02,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Weekend,620017,2672662,3292679
184,2011-07-03,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Weekend,620017,2672662,3292679
185,2011-07-04,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Weekend,620017,2672662,3292679
186,2011-07-05,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Non-Weekend,620017,2672662,3292679
187,2011-07-06,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Non-Weekend,620017,2672662,3292679
188,2011-07-07,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Non-Weekend,620017,2672662,3292679
189,2011-07-08,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Non-Weekend,620017,2672662,3292679
190,2011-07-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Non-Weekend,620017,2672662,3292679
191,2011-07-10,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Non-Weekend,620017,2672662,3292679
192,2011-07-11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Non-Weekend,620017,2672662,3292679
193,2011-07-12,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Non-Weekend,620017,2672662,3292679
194,2011-07-13,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Non-Weekend,620017,2672662,3292679
195,2011-07-14,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Non-Weekend,620017,2672662,3292679
196,2011-07-15,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Non-Weekend,620017,2672662,3292679
197,2011-07-16,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Non-Weekend,620017,2672662,3292679
198,2011-07-17,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Non-Weekend,620017,2672662,3292679
199,2011-07-18,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Non-Weekend,620017,2672662,3292679
200,2011-07-19,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Non-Weekend,620017,2672662,3292679
201,2011-07-20,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Non-Weekend,620017,2672662,3292679
202,2011-07-21,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Non-Weekend,620017,2672662,3292679
203,2011-07-22,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Non-Weekend,620017,2672662,3292679
204,2011-07-23,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Non-Weekend,620017,2672662,3292679
205,2011-07-24,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Non-Weekend,620017,2672662,3292679
206,2011-07-25,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Non-Weekend,620017,2672662,3292679
207,2011-07-26,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Non-Weekend,620017,2672662,3292679
